sentence,logit,prediction,sentiment_score
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",[0.10340701 0.01086191 0.88573104],neutral,0.0925451
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",[0.4576682  0.00849268 0.53383917],neutral,0.4491755
"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",[0.00784916 0.9720561  0.02009477],negative,-0.96420693
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,[0.9478999  0.012434   0.03966613],positive,0.9354659
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",[0.85970837 0.00803793 0.13225368],positive,0.85167044
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,[0.87356275 0.00715804 0.11927918],positive,0.8664047
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",[0.94819754 0.02603473 0.02576764],positive,0.92216283
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",[0.957042   0.01662714 0.02633089],positive,0.94041485
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,[0.95240307 0.02565511 0.02194181],positive,0.926748
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",[0.95502484 0.02685745 0.01811764],positive,0.9281674
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,[0.93718123 0.00853539 0.05428347],positive,0.92864585
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",[0.9351178  0.01078589 0.05409636],positive,0.9243319
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",[0.87643445 0.01152694 0.11203857],positive,0.8649075
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",[0.95265454 0.0246655  0.02268   ],positive,0.92798907
